timestamp,mac,index,imu_timestamp,x,y,z
1743202791767,B0:4A:6A:49:5A:61,125,1743202791032,10.086772,2.693477,0.3878607
1743202791782,B0:4A:6A:49:5A:61,126,1743202791051,14.049175,-0.25617957,-0.82360536
1743202791870,B0:4A:6A:49:5A:61,127,1743202791071,16.005238,-3.8522706,-2.2290018
1743202791872,B0:4A:6A:49:5A:61,128,1743202791092,16.156073,-6.1100025,-2.1332338
1743202791972,B0:4A:6A:49:5A:61,129,1743202791112,15.773001,-7.833828,-0.6488287
1743202792030,B0:4A:6A:49:5A:61,130,1743202791133,15.231912,-9.555259,0.9911995
1743202792066,B0:4A:6A:49:5A:61,131,1743202791153,13.828909,-9.957485,1.685518
1743202792106,B0:4A:6A:49:5A:61,132,1743202791173,12.703634,-8.750807,1.1659763
1743202792108,B0:4A:6A:49:5A:61,133,1743202791194,11.96622,-7.5920134,0.89782566
1743202792109,B0:4A:6A:49:5A:61,134,1743202791213,11.657368,-7.603985,1.1348516
1743202792109,B0:4A:6A:49:5A:61,135,1743202791233,12.152967,-7.771579,0.7350199
1743202792134,B0:4A:6A:49:5A:61,136,1743202791253,12.641385,-7.620744,-0.7589619
1743202792136,B0:4A:6A:49:5A:61,137,1743202791272,11.915942,-7.7189064,-2.1140802
1743202792149,B0:4A:6A:49:5A:61,138,1743202791294,10.038888,-7.929596,-3.4141316
1743202792152,B0:4A:6A:49:5A:61,139,1743202791312,8.180987,-7.8410106,-3.9935284
1743202792166,B0:4A:6A:49:5A:61,140,1743202791333,12.545617,-9.799467,-2.7700913
1743202792168,B0:4A:6A:49:5A:61,141,1743202791353,11.334151,-11.314998,-1.541866
1743202792169,B0:4A:6A:49:5A:61,142,1743202791374,7.6470804,-10.694899,-0.9744401
1743202792169,B0:4A:6A:49:5A:61,143,1743202791393,13.371616,-8.848969,-1.1803415
1743202792169,B0:4A:6A:49:5A:61,144,1743202791415,12.962208,-7.845799,-1.6089035
1743202792179,B0:4A:6A:49:5A:61,145,1743202791430,14.537593,-7.309498,-1.2641385
1743202792182,B0:4A:6A:49:5A:61,146,1743202791450,16.306908,-6.5337763,-0.2873042
1743202792201,B0:4A:6A:49:5A:61,147,1743202791470,13.941437,-5.5377884,0.8643068
1743202792223,B0:4A:6A:49:5A:61,148,1743202791491,11.212047,-4.8698063,1.6352397
1743202792241,B0:4A:6A:49:5A:61,149,1743202791510,10.038888,-4.4556093,1.5610195
1743202792261,B0:4A:6A:49:5A:61,150,1743202791531,9.212888,-4.1276035,1.1587936
1743202792279,B0:4A:6A:49:5A:61,151,1743202791550,8.9040365,-3.9121256,0.7374141
1743202792306,B0:4A:6A:49:5A:61,152,1743202791570,9.507375,-3.655946,0.4333505
1743202792322,B0:4A:6A:49:5A:61,153,1743202791592,10.936713,-3.5649664,0.20590134
1743202792346,B0:4A:6A:49:5A:61,154,1743202791613,12.229582,-1.8459295,-0.78050977
1743202792365,B0:4A:6A:49:5A:61,155,1743202791633,12.825739,-3.502717,-0.25617957
1743202792387,B0:4A:6A:49:5A:61,156,1743202791654,14.250289,-1.7956513,1.0390835
1743202792410,B0:4A:6A:49:5A:61,157,1743202791673,14.252683,-2.2864625,1.757344
1743202792428,B0:4A:6A:49:5A:61,158,1743202791693,13.88637,-2.5330653,1.6208745
1743202792447,B0:4A:6A:49:5A:61,159,1743202791713,12.167333,-2.0518308,0.8331822
1743202792468,B0:4A:6A:49:5A:61,160,1743202791734,10.338163,-0.6799533,-0.2825158
1743202792486,B0:4A:6A:49:5A:61,161,1743202791754,8.801085,0.3854665,-0.85473
1743202792506,B0:4A:6A:49:5A:61,162,1743202791774,7.6614456,0.5746084,-0.62488663
1743202792531,B0:4A:6A:49:5A:61,163,1743202791794,7.5106106,0.110133275,0.5410896
1743202792617,B0:4A:6A:49:5A:61,164,1743202791813,10.457873,-0.29209262,-0.60573304
1743202792619,B0:4A:6A:49:5A:61,165,1743202791834,12.191275,-2.4109612,-0.93852705
1743202792657,B0:4A:6A:49:5A:61,166,1743202791854,10.994174,-4.88896,2.111686
1743202792717,B0:4A:6A:49:5A:61,167,1743202791874,11.259931,-5.626374,4.5561657
1743202792781,B0:4A:6A:49:5A:61,168,1743202791896,11.9374895,-3.9600096,5.257667
1743202792782,B0:4A:6A:49:5A:61,169,1743202791914,13.096283,-2.96881,4.7309427
1743202792819,B0:4A:6A:49:5A:61,170,1743202791935,15.066711,-1.8052281,2.7222073
1743202792849,B0:4A:6A:49:5A:61,171,1743202791955,12.990938,-1.7621324,1.7669208
1743202792850,B0:4A:6A:49:5A:61,172,1743202791975,10.000581,-1.6950948,1.5777789
1743202792862,B0:4A:6A:49:5A:61,173,1743202791998,7.967903,-1.0749966,0.7398083
1743202792866,B0:4A:6A:49:5A:61,174,1743202792016,8.118738,-0.06703765,0.17956513
1743202792867,B0:4A:6A:49:5A:61,175,1743202792036,8.772355,-2.1930888,-0.533907
1743202792867,B0:4A:6A:49:5A:61,176,1743202792057,9.320627,-1.9033904,-0.6871359
1743202792868,B0:4A:6A:49:5A:61,177,1743202792075,10.500969,-2.5881321,-0.8379706
1743202792880,B0:4A:6A:49:5A:61,178,1743202792103,12.469003,-4.7740383,-0.39983168
1743202792882,B0:4A:6A:49:5A:61,179,1743202792114,14.149732,-7.5201874,0.47884035
1743202792894,B0:4A:6A:49:5A:61,180,1743202792135,14.12579,-10.244789,1.7741034
1743202792897,B0:4A:6A:49:5A:61,181,1743202792157,12.246342,-12.957419,2.707842
1743202792910,B0:4A:6A:49:5A:61,182,1743202792177,10.400413,-13.055582,2.846706
1743202792929,B0:4A:6A:49:5A:61,183,1743202792196,11.135432,-10.919954,2.2601264
1743202792949,B0:4A:6A:49:5A:61,184,1743202792216,11.228806,-8.990228,1.4580688
1743202792972,B0:4A:6A:49:5A:61,185,1743202792236,8.930372,-8.219295,1.3910311
1743202792988,B0:4A:6A:49:5A:61,186,1743202792256,8.765172,-7.773973,0.521936
1743202793010,B0:4A:6A:49:5A:61,187,1743202792276,15.4880905,-9.11712,-0.4285621
1743202793029,B0:4A:6A:49:5A:61,188,1743202792296,12.5982895,-8.66701,0.49081135
1743202793051,B0:4A:6A:49:5A:61,189,1743202792317,8.24563,-8.0445175,0.30885202
1743202793074,B0:4A:6A:49:5A:61,190,1743202792336,11.63582,-7.156269,0.035913024
1743202793091,B0:4A:6A:49:5A:61,191,1743202792356,13.962984,-6.715736,-0.34476504
1743202793108,B0:4A:6A:49:5A:61,192,1743202792377,14.001291,-6.2368956,-1.0582372
1743202793130,B0:4A:6A:49:5A:61,193,1743202792396,15.049952,-5.499481,-1.271321
1743202793154,B0:4A:6A:49:5A:61,194,1743202792418,12.943054,-4.5058875,-0.2753332
1743202793172,B0:4A:6A:49:5A:61,195,1743202792437,9.411607,-4.1012673,1.0055647
1743202793256,B0:4A:6A:49:5A:61,196,1743202792458,7.491457,-3.7373488,1.5466543
1743202793258,B0:4A:6A:49:5A:61,197,1743202792478,7.8625584,-3.1771057,0.866701
1743202793316,B0:4A:6A:49:5A:61,198,1743202792497,7.9487495,-3.0238767,0.40940848
1743202793355,B0:4A:6A:49:5A:61,199,1743202792518,8.154651,-3.2225955,0.17956513
1743202793393,B0:4A:6A:49:5A:61,200,1743202792539,9.555259,-3.6727054,0.016759412
1743202793431,B0:4A:6A:49:5A:61,201,1743202792557,11.556811,-3.7205894,-0.12449849
1743202793432,B0:4A:6A:49:5A:61,202,1743202792580,13.618219,-3.5577838,0.02873042
1743202793469,B0:4A:6A:49:5A:61,203,1743202792600,14.372393,-3.2321723,0.6967127
1743202793509,B0:4A:6A:49:5A:61,204,1743202792620,13.347674,-2.9879637,1.0510546
1743202793546,B0:4A:6A:49:5A:61,205,1743202792636,11.98298,-2.4779987,1.055843
1743202793550,B0:4A:6A:49:5A:61,206,1743202792657,11.238382,-1.8650831,0.842759
1743202793563,B0:4A:6A:49:5A:61,207,1743202792679,10.618284,-1.2617443,0.34237084
1743202793566,B0:4A:6A:49:5A:61,208,1743202792698,9.785102,-0.5482722,-0.21308395
1743202793567,B0:4A:6A:49:5A:61,209,1743202792719,9.054871,0.06464344,1.3024458
1743202793567,B0:4A:6A:49:5A:61,210,1743202792740,10.254366,0.90979666,0.49081135
1743202793567,B0:4A:6A:49:5A:61,211,1743202792757,10.891224,0.25617957,-1.0582372
1743202793567,B0:4A:6A:49:5A:61,212,1743202792781,10.007763,-1.2018893,0.9816227
1743202793576,B0:4A:6A:49:5A:61,213,1743202792799,11.3964,-2.2385786,3.1435869
1743202793580,B0:4A:6A:49:5A:61,214,1743202792820,13.924677,-2.5761611,5.351041
1743202793593,B0:4A:6A:49:5A:61,215,1743202792840,16.670826,-3.4883518,7.2687964
1743202793596,B0:4A:6A:49:5A:61,216,1743202792858,19.017143,-3.6655228,6.7971387
1743202793611,B0:4A:6A:49:5A:61,217,1743202792879,16.936583,-2.3463178,4.0054994
1743202793632,B0:4A:6A:49:5A:61,218,1743202792900,13.244724,-1.4389153,2.0518308
1743202793650,B0:4A:6A:49:5A:61,219,1743202792918,10.299856,-0.90740246,0.82599956
1743202793673,B0:4A:6A:49:5A:61,220,1743202792936,8.360553,-0.09816227,-0.1436521
1743202793689,B0:4A:6A:49:5A:61,221,1743202792958,8.307879,-0.61770403,-0.91219085
1743202793717,B0:4A:6A:49:5A:61,222,1743202792980,8.9279785,-1.5969325,-1.043872
1743202793736,B0:4A:6A:49:5A:61,223,1743202792999,9.466674,-2.7820623,-0.39743748
1743202793748,B0:4A:6A:49:5A:61,224,1743202793017,10.005369,-4.355053,-0.055066638
1743202793769,B0:4A:6A:49:5A:61,225,1743202793038,10.977415,-6.217742,0.37349546
1743202793791,B0:4A:6A:49:5A:61,226,1743202793058,11.386824,-6.385336,0.47884035
1743202793812,B0:4A:6A:49:5A:61,227,1743202793079,11.128249,-6.397307,0.17238252
1743202793830,B0:4A:6A:49:5A:61,228,1743202793099,10.13705,-6.7109475,-0.076614454
1743202793871,B0:4A:6A:49:5A:61,229,1743202793119,9.267955,-7.240066,-0.06703765
1743202793875,B0:4A:6A:49:5A:61,230,1743202793140,9.483433,-7.967903,0.2753332
1743202793895,B0:4A:6A:49:5A:61,231,1743202793160,9.579201,-8.497022,-0.16280572
1743202793911,B0:4A:6A:49:5A:61,232,1743202793180,8.4587145,-8.085219,-0.94331545
1743202793934,B0:4A:6A:49:5A:61,233,1743202793200,8.9519205,-7.431602,-2.0278888
1743202793951,B0:4A:6A:49:5A:61,234,1743202793218,15.866375,-8.851364,-1.6879122
1743202793972,B0:4A:6A:49:5A:61,235,1743202793240,13.833697,-9.483433,-0.33279404
1743202794058,B0:4A:6A:49:5A:61,236,1743202793260,9.279925,-8.0684595,-0.059855044
1743202794065,B0:4A:6A:49:5A:61,237,1743202793280,12.454638,-6.655881,-1.0390835
1743202794118,B0:4A:6A:49:5A:61,238,1743202793300,14.891934,-6.4906807,-1.4676456
1743202794121,B0:4A:6A:49:5A:61,239,1743202793319,15.787366,-6.895301,-1.4628572
1743202794159,B0:4A:6A:49:5A:61,240,1743202793340,17.00362,-7.2113357,-0.90500826
1743202794210,B0:4A:6A:49:5A:61,241,1743202793360,14.676456,-6.873753,0.39025488
1743202794250,B0:4A:6A:49:5A:61,242,1743202793380,10.469844,-5.997475,1.067814
1743202794275,B0:4A:6A:49:5A:61,243,1743202793402,7.7931266,-4.6662993,1.0845734
1743202794278,B0:4A:6A:49:5A:61,244,1743202793420,6.8186865,-3.8474822,0.92655605
1743202794291,B0:4A:6A:49:5A:61,245,1743202793439,7.620744,-3.58412,0.29688102
1743202794292,B0:4A:6A:49:5A:61,246,1743202793461,9.050082,-3.6224272,-0.06943185
1743202794304,B0:4A:6A:49:5A:61,247,1743202793481,10.539276,-3.2968156,-0.48841715
1743202794308,B0:4A:6A:49:5A:61,248,1743202793502,12.01171,-2.7341783,-0.7278373
1743202794308,B0:4A:6A:49:5A:61,249,1743202793522,14.116213,-2.5689783,-0.60333884
1743202794309,B0:4A:6A:49:5A:61,250,1743202793540,16.25663,-2.6240451,-0.059855044
1743202794309,B0:4A:6A:49:5A:61,251,1743202793560,16.701952,-2.7700913,0.82360536
1743202794319,B0:4A:6A:49:5A:61,252,1743202793582,12.876017,-2.4061728,1.3192052
1743202794334,B0:4A:6A:49:5A:61,253,1743202793600,12.58153,-1.6783354,0.641646
1743202794354,B0:4A:6A:49:5A:61,254,1743202793620,12.440272,-0.6344634,-0.557849
1743202794377,B0:4A:6A:49:5A:61,255,1743202793641,10.326192,0.557849,-1.6184803
1743202794397,B0:4A:6A:49:5A:61,256,1743202793660,8.161834,1.9081788,-1.520318
1743202794412,B0:4A:6A:49:5A:61,257,1743202793681,8.367735,3.1675289,-1.8100165
1743202794435,B0:4A:6A:49:5A:61,258,1743202793703,10.34774,0.91697925,-1.9728222
1743202794454,B0:4A:6A:49:5A:61,259,1743202793721,10.759542,-3.7708676,0.60573304
1743202794515,B0:4A:6A:49:5A:61,260,1743202793741,10.335769,-6.6989765,4.805163
1743202794518,B0:4A:6A:49:5A:61,261,1743202793762,10.627861,-6.069301,7.8290396
1743202794527,B0:4A:6A:49:5A:61,262,1743202793782,12.983756,-4.501099,8.319851
1743202794537,B0:4A:6A:49:5A:61,263,1743202793803,15.658079,-3.4715924,5.717354
1743202794556,B0:4A:6A:49:5A:61,264,1743202793821,14.324509,-1.9201498,1.7932571
1743202794573,B0:4A:6A:49:5A:61,265,1743202793841,10.670957,-1.5921441,0.1340753
1743202794606,B0:4A:6A:49:5A:61,266,1743202793862,8.331821,-0.6895301,-0.31364042
1743202794620,B0:4A:6A:49:5A:61,267,1743202793883,8.1163435,0.58657944,-0.6943185
1743202794640,B0:4A:6A:49:5A:61,268,1743202793902,8.959103,-0.2705448,-0.8882488
1743202794655,B0:4A:6A:49:5A:61,269,1743202793922,10.158598,-1.9393034,-1.0247183
1743202794680,B0:4A:6A:49:5A:61,270,1743202793942,11.506534,-3.2944214,-1.3455414
1743202794697,B0:4A:6A:49:5A:61,271,1743202793961,13.421895,-5.00867,-1.0773908
1743202794713,B0:4A:6A:49:5A:61,272,1743202793980,16.010027,-7.7332716,0.11971009
1743202794786,B0:4A:6A:49:5A:61,273,1743202794003,16.68998,-9.945514,0.9528923
1743202794789,B0:4A:6A:49:5A:61,274,1743202794023,15.052346,-11.039664,2.542642
1743202794848,B0:4A:6A:49:5A:61,275,1743202794042,11.903971,-11.358093,4.223372
1743202794887,B0:4A:6A:49:5A:61,276,1743202794061,9.263166,-9.813833,4.5777135
1743202794923,B0:4A:6A:49:5A:61,277,1743202794082,8.767567,-9.301474,3.787627
1743202794963,B0:4A:6A:49:5A:61,278,1743202794103,8.652645,-9.488221,2.755726
1743202795001,B0:4A:6A:49:5A:61,279,1743202794123,8.058883,-7.524976,0.48362875
1743202795022,B0:4A:6A:49:5A:61,280,1743202794143,12.612655,-7.45315,-0.29448682
1743202795027,B0:4A:6A:49:5A:61,281,1743202794164,16.83842,-7.941567,0.22266077
1743202795027,B0:4A:6A:49:5A:61,282,1743202794183,10.8624935,-7.1371155,1.0031705
1743202795028,B0:4A:6A:49:5A:61,283,1743202794207,10.608707,-5.901707,0.51954174
1743202795038,B0:4A:6A:49:5A:61,284,1743202794221,14.372393,-5.6790466,0.05267244
1743202795040,B0:4A:6A:49:5A:61,285,1743202794242,14.98052,-5.9687448,-0.074220255
1743202795052,B0:4A:6A:49:5A:61,286,1743202794263,14.884752,-5.777209,-0.06464344
1743202795054,B0:4A:6A:49:5A:61,287,1743202794282,13.761871,-5.011064,0.62249243
1743202795067,B0:4A:6A:49:5A:61,288,1743202794305,10.824186,-4.297592,1.6519991
1743202795070,B0:4A:6A:49:5A:61,289,1743202794322,8.257602,-3.8259344,2.3774424
1743202795081,B0:4A:6A:49:5A:61,290,1743202794343,6.88333,-3.6894648,2.2266076
1743202795095,B0:4A:6A:49:5A:61,291,1743202794362,6.7803793,-3.7445314,1.7405846
