filename,duration,total_frames
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-27-42.avi,9.333333333333334,280
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-20-38-06.avi,19.633333333333333,589
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-20-39-36.avi,21.9,657
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-58-26.avi,10.566666666666666,317
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-00-18.avi,11.166666666666666,335
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-23-06.avi,13.466666666666667,404
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-55-33.avi,12.766666666666667,383
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-21-02-52.avi,138.46666666666667,4154
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-21-29.avi,11.333333333333334,340
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-01-32.avi,10.133333333333333,304
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-02-12.avi,11.9,357
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-57-39.avi,12.1,363
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-13-00-55.avi,11.166666666666666,335
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-21-21-51.avi,110.73333333333333,3322
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-29-01.avi,9.066666666666666,272
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-20-37-15.avi,24.3,729
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-28-21.avi,9.766666666666667,293
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-25-19.avi,8.633333333333333,259
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/14-08-2023-14-22-30.avi,12.266666666666667,368
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-59-41.avi,11.533333333333333,346
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/29-08-2023-20-51-38.avi,123.73333333333333,3712
/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/EMS_Interventions/videos/defib_pads_attachment/19-10-2023-12-56-28.avi,11.6,348
